provider,DRG_CD,_TYPE_,_FREQ_,ip_type_sum,n_claims,pb_type_sum,sn_type_sum,proc227_Sum,proc232_Sum,proc34_Sum,proc48_Sum,,,,,,,,,,
140065,61,3,1,1,1,9,0,11,0,0,0,,,,,,,,,,
140080,61,3,1,1,1,22,0,0,0,0,0,,,,,,,,,,
140117,61,3,1,0,1,23,0,6,0,0,0,,,,,,,,,,
140122,61,3,1,1,1,20,0,24,0,0,0,,,,,,,,,,
140200,61,3,1,0,1,33,0,0,0,0,0,,,,,,,,,,
140208,61,3,1,0,1,10,0,8,0,0,0,,,,,,,,,,
140250,61,3,1,1,1,24,0,14,0,0,0,,,,,,,,,,
140258,61,3,2,1,1,34,0,18,0,0,0,,,,,,,,,,
150002,61,3,1,1,1,11,0,22,0,0,0,,,,,,,,,,
150021,61,3,1,1,1,35,0,10,0,0,0,,,,,,,,,,
150026,61,3,1,0,1,34,0,10,0,0,0,,,,,,,,,,
150035,61,3,1,0,1,30,0,7,0,0,0,,,,,,,,,,
150088,61,3,1,0,0,16,0,12,0,0,0,,,,,,,,,,
150112,61,3,1,1,1,26,0,2,0,0,0,,,,,,,,,,
160079,61,3,1,0,0,21,0,0,0,0,0,,,,,,,,,,
160110,61,3,1,1,1,11,0,7,0,0,0,,,,,,,,,,
170016,61,3,1,1,1,48,0,7,0,0,0,,,,,,,,,,
170040,61,3,3,1,1,41,0,5,0,0,0,,,,,,,,,,
170122,61,3,1,1,1,24,0,14,0,0,0,,,,,,,,,,
170123,61,3,1,1,1,31,1,22,0,0,0,,,,,,,,,,
170137,61,3,1,0,1,14,0,13,0,0,0,,,,,,,,,,
180010,61,3,1,1,1,33,0,2,0,0,0,,,,,,,,,,
180013,61,3,1,1,1,24,0,4,0,0,0,,,,,,,,,,
180141,61,3,1,1,1,20,0,14,0,0,0,,,,,,,,,,
190026,61,3,1,1,1,12,0,6,0,0,0,,,,,,,,,,
190102,61,3,1,1,1,27,0,6,0,0,0,,,,,,,,,,
190125,61,3,1,1,1,41,0,17,0,0,0,,,,,,,,,,
190177,61,3,1,1,1,32,0,6,0,0,0,,,,,,,,,,
200009,61,3,1,1,1,34,0,11,0,0,0,,,,,,,,,,
220035,61,3,1,0,0,40,0,25,0,0,0,,,,,,,,,,
220046,61,3,1,1,1,41,0,7,0,0,0,,,,,,,,,,
220066,61,3,2,1,1,28,0,10,0,0,0,,,,,,,,,,
220126,61,3,1,1,1,20,0,12,0,0,0,,,,,,,,,,
230020,61,3,1,1,0,1,0,3,0,0,0,,,,,,,,,,
230038,61,3,2,1,1,26,0,6,0,0,0,,,,,,,,,,
230041,61,3,1,1,1,39,0,8,0,0,0,,,,,,,,,,
230053,61,3,3,1,1,10,0,22,0,0,0,,,,,,,,,,
230054,61,3,1,1,1,7,0,15,0,0,0,,,,,,,,,,
230092,61,3,1,0,0,19,0,7,0,0,0,,,,,,,,,,
230132,61,3,2,0,0,5,0,0,0,0,0,,,,,,,,,,
230141,61,3,1,1,1,17,0,9,0,0,0,,,,,,,,,,
230193,61,3,1,1,0,29,0,6,0,0,0,,,,,,,,,,
240063,61,3,1,1,1,35,0,6,0,0,0,,,,,,,,,,
240078,61,3,2,0,0,7,0,9,0,0,0,,,,,,,,,,
240093,61,3,1,1,0,39,0,1,0,0,0,,,,,,,,,,
240115,61,3,1,1,1,43,0,0,0,0,0,,,,,,,,,,
250009,61,3,1,1,1,33,0,3,0,0,0,,,,,,,,,,
250048,61,3,1,0,1,15,0,8,0,0,0,,,,,,,,,,
